Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00001            3280.00     3360.00
00002            3360.00       80.00
00003              80.00       80.00
00004               0.00       80.00
00005              80.00     3440.00
00006            3280.00     3360.00
00007            3360.00     3360.00
00008            3680.00      -80.00
00009              80.00       80.00
00010              80.00       80.00
00011            3280.00     3360.00
00012            3280.00     3360.00
00013            3360.00     3440.00
00014              80.00       80.00
00015               0.00        0.00
00016             160.00     1120.00
00017            3280.00     3440.00
00018            3280.00     3360.00
00019            3360.00       80.00
00020              80.00       80.00
00021              80.00        0.00
00022              80.00     3360.00
00023            3280.00     3360.00
00024            3280.00     3360.00
00025            3360.00       80.00
00026               0.00        0.00
00027              80.00        0.00
00028            1040.00     3600.00
00029            3280.00     3360.00
00030            3360.00     3440.00
00031              80.00       80.00
00032              80.00        0.00
00033              80.00       80.00
00034            3280.00     3440.00
00035            3360.00     3360.00
00036            3280.00     3680.00
00037              80.00       80.00
00038              80.00       80.00
00039              80.00     3360.00
00040            3360.00     3360.00
00041            3360.00     3360.00
00042            3440.00       80.00
00043              80.00        0.00
00044               0.00        0.00
00045              80.00     3520.00
00046            3280.00     3360.00
00047            3280.00     3360.00
00048            3040.00     -160.00
00049              80.00     3360.00
00050              80.00     3360.00
00051              80.00     3360.00
00052              80.00     3440.00
00053              80.00     3360.00
00054              80.00     3360.00
00055              80.00        0.00
00056              80.00     3360.00
00057            3360.00     3360.00
00058            3280.00     3360.00
00059            3360.00      -80.00
00060              80.00        0.00
00061              80.00        0.00
00062            3280.00     3440.00
00063            3280.00     3360.00
00064            3280.00     3360.00
00065              80.00       80.00
00066              80.00       80.00
00067              80.00      -80.00
00068            3280.00     3360.00
00069            3280.00     3440.00
00070            3360.00        0.00
00071              80.00        0.00
00072              80.00       80.00
00073              80.00     3360.00
00074            3280.00     3440.00
00075            3360.00     3360.00
00076            3360.00       80.00
00077               0.00       80.00
00078              80.00       80.00
00079             -80.00     3360.00
00080            3280.00     3440.00
00081            3280.00     3360.00
00082              80.00     3360.00
00083              80.00     3360.00
00084              80.00     3360.00
00085              80.00     3360.00
00086              80.00     3360.00
00087              80.00       80.00
00088              80.00       80.00
00089              80.00      -80.00
00090            3280.00     3360.00
00091            3280.00     3360.00
00092            3280.00       80.00
00093              80.00       80.00
00094              80.00       80.00
00095               0.00     3360.00
00096            3280.00     3360.00
00097            3360.00     3360.00
00098            3360.00       80.00
00099              80.00       80.00
00100              80.00       80.00
00101             -80.00     3360.00
00102            3360.00     3360.00
00103            3280.00     3360.00
00104              80.00        0.00
00105              80.00       80.00
00106               0.00      -80.00
00107            3280.00     3360.00
00108            3280.00     3360.00
00109            3360.00     3440.00
00110              80.00       80.00
00111              80.00       80.00
