Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	-35,100000	-35,000000	1,000000	1,000000	24,000000	2256,000000	3444,000000	3842,000000	1188,000000	1.0.00
	-35,100000	-35,000000	1,000000	1,000000	8,800000	2256,000000	3419,000000	3842,000000	1163,000000	1.0.00
	-35,100000	-35,000000	1,000000	1,000000	8,000000	2256,000000	3408,000000	3842,000000	1152,000000	1.0.00
	-35,100000	-35,000000	1,000000	2,000000	24,000000	2245,000000	3436,000000	3837,000000	1191,000000	1.0.00
	-35,100000	-35,000000	1,000000	2,000000	8,800000	2245,000000	3408,000000	3838,000000	1162,000000	1.0.00
	-35,100000	-35,000000	1,000000	2,000000	8,000000	2245,000000	3395,000000	3838,000000	1150,000000	1.0.00
	-35,000000	-35,000000	1,000000	3,000000	24,000000	2251,000000	3445,000000	3834,000000	1194,000000	1.0.00
	-35,100000	-35,000000	1,000000	3,000000	8,800000	2251,000000	3416,000000	3834,000000	1166,000000	1.0.00
	-35,000000	-35,000000	1,000000	3,000000	8,000000	2251,000000	3404,000000	3834,000000	1153,000000	1.0.00
	-35,000000	-35,000000	1,000000	4,000000	24,000000	2262,000000	3451,000000	3834,000000	1189,000000	1.0.00
	-35,100000	-35,000000	1,000000	4,000000	8,800000	2262,000000	3422,000000	3834,000000	1160,000000	1.0.00
	-35,000000	-35,000000	1,000000	4,000000	8,000000	2262,000000	3408,000000	3835,000000	1146,000000	1.0.00
	-35,000000	-35,000000	1,000000	5,000000	24,000000	2253,000000	3466,000000	3833,000000	1213,000000	1.0.00
	-35,000000	-35,000000	1,000000	5,000000	8,800000	2253,000000	3456,000000	3833,000000	1203,000000	1.0.00
	-35,000000	-35,000000	1,000000	5,000000	8,000000	2253,000000	3452,000000	3833,000000	1199,000000	1.0.00
	-30,000000	-30,000000	1,000000	1,000000	24,000000	2243,000000	3440,000000	3769,000000	1197,000000	1.0.00
	-30,000000	-30,000000	1,000000	1,000000	8,800000	2243,000000	3414,000000	3769,000000	1171,000000	1.0.00
	-30,000000	-30,000000	1,000000	1,000000	8,000000	2243,000000	3404,000000	3769,000000	1161,000000	1.0.00
