ADC,Temperature (°C)
128,120.64020997336101
256,100.4750853665513
384,85.49350781484745
512,74.40401814158776
640,66.15588997793756
768,59.9101856965319
896,55.012427307796486
1024,50.96688231894814
1152,47.41246455567364
1280,44.100249946487736
1408,40.872607269770015
1536,28.236104385888268
1664,24.97522681996122
1792,12.281477053788137
1920,-0.406158533255109
2048,-13.045362014153227
2176,-35.001663391140426
2304,-56.83448667713634
2432,-87.93645735764625
2560,-128.31621854683732
2688,-178.01099009130695
2816,-246.49751271116833
2944,-324.4700192680935
3072,-430.8793068914069
3200,-547.0761204104062
3328,-701.4783524654638
3456,-875.4876785822157
3584,-1097.5613668348967
3712,-1358.533522472759
3840,-1668.0523097476848
3968,-2035.752842958401
4096,-2461.8363020095794
