ADC,Temperature (°C)
148,117.08779745351282
276,97.82835441916248
404,83.53358022794065
532,72.95160356397548
660,65.06665695379449
788,59.07038503788557
916,54.33476780493683
1044,50.386658788755284
1172,46.883938227864576
1300,43.593281187781315
1428,40.36954064597046
1556,27.72890606188804
1684,24.462874297660903
1812,11.767601247936739
1940,-0.9153788813029564
2068,-13.543053584759832
2196,-35.481859196790936
2324,-66.70131411251594
2452,-97.78171600143293
2580,-138.14374249112683
2708,-187.8294000227507
2836,-256.32055513178665
2964,-343.7244928557578
3092,-440.7735391344524
3220,-566.4544261578253
3348,-720.9654874529072
3476,-913.9349538287563
3604,-1136.1905974931915
3732,-1397.3826375499773
3860,-1716.5658331453922
3988,-2093.9642826969043
