Unit:(mV)
                     CH1         CH2
Frequency              ?   2.567 kHz
Period                 ?  389.560 us
00001             400.00     1680.00
00002             400.00     1680.00
00003             400.00     1680.00
00004             400.00     1680.00
00005             400.00     1680.00
00006             400.00     1680.00
00007             400.00     1680.00
00008               0.00     1680.00
00009             400.00     1760.00
00010             400.00     1680.00
00011             400.00     1680.00
00012             400.00     1680.00
00013             400.00     1680.00
00014             400.00     1600.00
00015             400.00     1680.00
00016             400.00     1680.00
00017             400.00     1680.00
00018               0.00     1680.00
00019             400.00     1680.00
00020             400.00     1680.00
00021             400.00     1680.00
00022             400.00     1680.00
00023             400.00     1680.00
00024             400.00     1680.00
00025             800.00     1680.00
00026             400.00     1680.00
00027             400.00     1680.00
00028             400.00     1680.00
00029             400.00     1680.00
00030               0.00     1680.00
00031             800.00     1680.00
00032             400.00     1680.00
00033               0.00     1680.00
00034             400.00     1680.00
00035             400.00     1680.00
00036             400.00     1680.00
00037             400.00     1680.00
00038               0.00     1680.00
00039             800.00     1680.00
00040               0.00     1680.00
00041             400.00     1680.00
00042             400.00     1760.00
00043               0.00     1680.00
00044             400.00     1680.00
00045               0.00     1680.00
00046             400.00     1680.00
00047               0.00     1680.00
00048               0.00     1680.00
00049             400.00     1680.00
00050               0.00     1680.00
00051             400.00     1680.00
00052             400.00     1680.00
00053             400.00     1680.00
00054             400.00     1680.00
00055             400.00     1680.00
00056             400.00     1680.00
00057             400.00     1680.00
00058               0.00     1680.00
00059               0.00     1680.00
00060               0.00     1680.00
00061             400.00     1680.00
00062             400.00     1680.00
00063             400.00     1760.00
00064               0.00     1680.00
00065             400.00     1680.00
00066               0.00     1680.00
00067             400.00     1680.00
00068             400.00     1680.00
00069               0.00     1680.00
00070             400.00     1680.00
00071             400.00     1680.00
00072             400.00     1680.00
00073             400.00     1680.00
00074             400.00     1680.00
00075             400.00     1680.00
00076             400.00     1920.00
00077               0.00     1680.00
00078             400.00     1760.00
00079             400.00     1680.00
00080             400.00     1680.00
00081             400.00     1680.00
00082             400.00     1600.00
00083             400.00     1680.00
00084             400.00     1680.00
00085             400.00     1680.00
00086               0.00     2560.00
00087             400.00     1680.00
00088             400.00     1680.00
00089             400.00     1680.00
00090               0.00     1680.00
00091             400.00     1680.00
00092               0.00     1680.00
00093             400.00     1680.00
00094             400.00     1680.00
00095             400.00     1680.00
00096             400.00     1680.00
00097               0.00     1680.00
00098             400.00     1680.00
00099             400.00     1680.00
00100             400.00     1680.00
00101             400.00     1680.00
00102             400.00     1680.00
00103             400.00     1760.00
00104             400.00     1680.00
00105             400.00     1680.00
00106             800.00     1680.00
00107             400.00     1680.00
00108             400.00     1680.00
00109             800.00     1680.00
00110             400.00     1680.00
00111             400.00     1680.00
00112             400.00     1600.00
00113               0.00     1600.00
00114             400.00     1680.00
00115             400.00     1600.00
00116               0.00     1600.00
00117             400.00     1680.00
00118             400.00     1600.00
00119               0.00     1680.00
00120               0.00     1600.00
00121             400.00     1680.00
00122               0.00     1760.00
00123             400.00     1680.00
00124             400.00     1680.00
00125             400.00     1680.00
00126             400.00     1680.00
00127             400.00     1680.00
00128             400.00     1680.00
00129             400.00     1680.00
00130               0.00     1680.00
00131             400.00     1680.00
00132             400.00     1680.00
00133             400.00     1680.00
00134             400.00     1680.00
00135             400.00     1680.00
00136             400.00     1680.00
00137               0.00     1680.00
00138             400.00     1680.00
00139             400.00     1600.00
00140             400.00     1680.00
00141             400.00     1680.00
00142             800.00     1680.00
00143             400.00     1680.00
00144             400.00     1680.00
00145               0.00     1680.00
00146             400.00     1680.00
00147             400.00     1680.00
